Nombre,Referencia interna,Precio de venta,Tipo,Peso Kg,Tipo pallet,Medida pallet,TARIC (HS),Nombre EN-US
Patines X Talla 34,A00380,100,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates X size EU34/USA 2.5Y
Patines X Talla 35,A00381,100,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates X size EU35/USA 3.0Y
Patines X Talla 36,A00382,100,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates X size EU36/USA 4.0Y
Patines X Talla 37,A00383,100,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates X size EU37/USA 4.5Y
Patines X Talla 38,A00384,100,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates X size EU38/USA 5.5Y
Patines X Talla 39,A00385,100,consu,2.2,Patines,1.00x1.00,9506.70.40.00,Skates X size EU39/USA 6.5
Patines X Talla 40,A00386,100,consu,2.2,Patines,1.00x1.00,9506.70.40.00,Skates X size EU40/USA 7.0
Patines X Talla 41,A00387,100,consu,2.2,Patines,1.00x1.00,9506.70.40.00,Skates X size EU41/USA 8.0
Patines X Talla 42,A00388,100,consu,2.2,Patines,1.00x1.00,9506.70.40.00,Skates X size EU42/USA 8.5
Patines X Talla 43,A00389,100,consu,2.5,Patines,1.00x1.00,9506.70.40.00,Skates X size EU43/USA 9.5
Patines X Talla 44,A00390,100,consu,2.5,Patines,1.00x1.00,9506.70.40.00,Skates X size EU44/USA 10
Patines X Talla 45,A00391,100,consu,2.5,Patines,1.00x1.00,9506.70.40.00,Skates X size EU45/USA 11
Patines X Talla 46,A00392,100,consu,2.7,Patines,1.00x1.00,9506.70.40.00,Skates X size EU46/USA 12
Patines X Talla 47,A00393,100,consu,2.7,Patines,1.00x1.00,9506.70.40.00,Skates X size EU47/USA 13
Patinetes,A00238,1,consu,0.0,,,,Patinetes
Pie de valla alu,A00137,37,consu,7.8,Pies de Valla,1.10x1.10,73.06.61.99,Barrier support aluminium
